Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Cntnap5a,BC,BC3A,ENSMUSG00000070695,Cntnap5a,0.528284012917132
Gm20754,BC,BC3A,ENSMUSG00000103428,Gm20754,0.7024499896497931
Grik1,BC,BC3A,ENSMUSG00000022935,Grik1,0.9070663852544588
Zfhx4,BC,BC3A,ENSMUSG00000025255,Zfhx4,0.5777827760939146
Cntn4,BC,BC3A,ENSMUSG00000064293,Cntn4,0.5611476098440453
Kcnh7,BC,BC3A,ENSMUSG00000059742,Kcnh7,0.6804495636713265
Atp2b1,BC,BC3A,ENSMUSG00000019943,Atp2b1,0.6821740534707456
Cabp5,BC,BC3A,ENSMUSG00000005649,Cabp5,0.7644386398876517
Lrp1b,BC,BC3A,ENSMUSG00000049252,Lrp1b,0.7219542575211801
Slit2,BC,BC3A,ENSMUSG00000031558,Slit2,0.7006273659686048
Cdh18,BC,BC3A,ENSMUSG00000040420,Cdh18,0.6389925135882066
Gsg1,BC,BC3A,ENSMUSG00000030206,Gsg1,0.8990401077439123
Gngt2,BC,BC3A,ENSMUSG00000038811,Gngt2,0.534024316740078
Scgn,BC,BC3A,ENSMUSG00000021337,Scgn,0.6633086446061912
Scg2,BC,BC3A,ENSMUSG00000050711,Scg2,0.6244848045513078
Nnat,BC,BC3B,ENSMUSG00000067786,Nnat,0.8982264678060303
Gngt2,BC,BC3B,ENSMUSG00000038811,Gngt2,0.6834729646331315
Meis2,BC,BC3B,ENSMUSG00000027210,Meis2,0.4526484093158643
Adamtsl1,BC,BC3B,ENSMUSG00000066113,Adamtsl1,0.3121754057334886
Pcp4,BC,BC3B,ENSMUSG00000090223,Pcp4,0.41532431499688
Tenm3,BC,BC3B,ENSMUSG00000031561,Tenm3,0.33182846791799
Cngb3,BC,BC3B,ENSMUSG00000056494,Cngb3,0.5610963940441952
Cabp5,BC,BC3B,ENSMUSG00000005649,Cabp5,0.489059184048526
Kirrel3,BC,BC3B,ENSMUSG00000032036,Kirrel3,0.6917652122229015
Sulf1,BC,BC3B,ENSMUSG00000016918,Sulf1,0.3210536967273575
Grik1,BC,BC3B,ENSMUSG00000022935,Grik1,0.9922821222400622
Gngt1,BC,BC3B,ENSMUSG00000029663,Gngt1,0.3285364811471997
Gsg1,BC,BC3B,ENSMUSG00000030206,Gsg1,0.434546420913188
Sgcz,BC,BC3B,ENSMUSG00000039539,Sgcz,0.4092891184471109
Dach1,BC,BC3B,ENSMUSG00000055639,Dach1,0.3009717140196674
Kctd16,BC,BC4,ENSMUSG00000051401,Kctd16,0.2270403239291133
Grik1,BC,BC4,ENSMUSG00000022935,Grik1,0.3498919561168139
Lsamp,BC,BC4,ENSMUSG00000061080,Lsamp,0.3027904335347096
Kcnd3,BC,BC4,ENSMUSG00000040896,Kcnd3,0.4317768799217448
Gabrr3,BC,BC4,ENSMUSG00000074991,Gabrr3,0.2070232092497604
Zfhx3,BC,BC4,ENSMUSG00000038872,Zfhx3,0.3441397851876778
Pcp4,BC,BC4,ENSMUSG00000090223,Pcp4,0.319994104173473
Phyhipl,BC,BC4,ENSMUSG00000037747,Phyhipl,0.2881553387359385
Rpgrip1,BC,BC4,ENSMUSG00000057132,Rpgrip1,0.4249242026128828
Nfib,BC,BC4,ENSMUSG00000008575,Nfib,0.2392171807075153
Scgn,BC,BC4,ENSMUSG00000021337,Scgn,0.3893790806108691
Nfia,BC,BC5A,ENSMUSG00000028565,Nfia,0.4167078681361846
A530058N18Rik_ENSMUSG00000087694,BC,BC5A,ENSMUSG00000087694,A530058N18Rik_ENSMUSG00000087694,0.3371399875452385
Hs3st4,BC,BC5A,ENSMUSG00000078591,Hs3st4,0.6521061935684582
Hlf,BC,BC5A,ENSMUSG00000003949,Hlf,0.7631801431843902
Cabp5,BC,BC5A,ENSMUSG00000005649,Cabp5,0.6172219841851905
Sox6,BC,BC5A,ENSMUSG00000051910,Sox6,1.2180022488538302
Slc8a1,BC,BC5A,ENSMUSG00000054640,Slc8a1,0.590152591905834
Grm6,BC,BC5A,ENSMUSG00000000617,Grm6,0.4913950716148927
Cntn5,BC,BC5A,ENSMUSG00000039488,Cntn5,1.0819766423092252
Il1rapl2,BC,BC5A,ENSMUSG00000059203,Il1rapl2,0.461059687353017
Nlgn1,BC,BC5A,ENSMUSG00000063887,Nlgn1,0.3583571361123865
Slc24a2,BC,BC5A,ENSMUSG00000037996,Slc24a2,0.3779958388089003
Pcp2,BC,BC5A,ENSMUSG00000004630,Pcp2,0.4973185388481884
Scg2,BC,BC5B,ENSMUSG00000050711,Scg2,0.6028459949882063
Sphkap,BC,BC5B,ENSMUSG00000026163,Sphkap,0.5871382654730675
Thrb,BC,BC5B,ENSMUSG00000021779,Thrb,0.6129979634886958
Nwd2,BC,BC5B,ENSMUSG00000090061,Nwd2,0.6628660259696706
Ndnf,BC,BC5B,ENSMUSG00000049001,Ndnf,0.6190847424742414
Nnat,BC,BC5B,ENSMUSG00000067786,Nnat,0.5570433708159823
Kcnma1,BC,BC5B,ENSMUSG00000063142,Kcnma1,0.5329747112799523
Esrrg,BC,BC5B,ENSMUSG00000026610,Esrrg,0.6516614266983832
Cngb3,BC,BC5B,ENSMUSG00000056494,Cngb3,0.5213355260707493
Gngt1,BC,BC5B,ENSMUSG00000029663,Gngt1,0.910340714636471
Cabp5,BC,BC5B,ENSMUSG00000005649,Cabp5,0.7336015630967768
Dgkh,BC,BC5B,ENSMUSG00000034731,Dgkh,0.5529502642119176
Brinp3,BC,BC5B,ENSMUSG00000035131,Brinp3,0.6466051960307442
Car2,BC,BC5B,ENSMUSG00000027562,Car2,0.8333615434013829
Gngt1,BC,BC5C,ENSMUSG00000029663,Gngt1,0.4608795968881786
Anks1b,BC,BC5C,ENSMUSG00000058589,Anks1b,0.4588909261103303
Vwc2l,BC,BC5C,ENSMUSG00000045648,Vwc2l,0.5117535913273257
Cntn4,BC,BC5C,ENSMUSG00000064293,Cntn4,0.4059817608762492
Csmd1,BC,BC5C,ENSMUSG00000060924,Csmd1,0.6263578315993289
Pcp2,BC,BC5C,ENSMUSG00000004630,Pcp2,0.8604193925751206
Kcnb2,BC,BC5C,ENSMUSG00000092083,Kcnb2,0.7130241757753061
Pcp4,BC,BC5C,ENSMUSG00000090223,Pcp4,0.7883671676743702
Ryr3,BC,BC5C,ENSMUSG00000057378,Ryr3,0.4076990415509158
Tenm2,BC,BC5C,ENSMUSG00000049336,Tenm2,0.750993144307173
Gabrr3,BC,BC5C,ENSMUSG00000074991,Gabrr3,0.4884827903176353
Cntn5,BC,BC5C,ENSMUSG00000039488,Cntn5,0.6588463513197329
Inpp4b,BC,BC5C,ENSMUSG00000037940,Inpp4b,0.4564475651011132
Gsg1,BC,BC5C,ENSMUSG00000030206,Gsg1,0.4077367040229525
Nrg3,BC,BC5D,ENSMUSG00000041014,Nrg3,0.8026091523404233
Nfia,BC,BC5D,ENSMUSG00000028565,Nfia,0.5448342336659077
Fam135b,BC,BC5D,ENSMUSG00000036800,Fam135b,0.3291535494842066
Pcdh7,BC,BC5D,ENSMUSG00000029108,Pcdh7,0.6959184819766832
Gngt1,BC,BC5D,ENSMUSG00000029663,Gngt1,0.2885508747793313
Atp2b1,BC,BC5D,ENSMUSG00000019943,Atp2b1,0.4514932990074171
Grm5,BC,BC5D,ENSMUSG00000049583,Grm5,0.2881773730616126
Cadm2,BC,BC5D,ENSMUSG00000064115,Cadm2,0.3300989531544226
Adarb2,BC,BC5D,ENSMUSG00000052551,Adarb2,0.5437766787835931
Kcnd2,BC,BC5D,ENSMUSG00000060882,Kcnd2,0.4732965634574368
Schip1,BC,BC5D,ENSMUSG00000027777,Schip1,0.4274964763612604
Hcn1,BC,BC5D,ENSMUSG00000021730,Hcn1,0.3436362261294204
Meis2,BC,BC5D,ENSMUSG00000027210,Meis2,0.8082793314501586
Kirrel3,BC,BC5D,ENSMUSG00000032036,Kirrel3,1.2470177924157408
Epha7,BC,BC5D,ENSMUSG00000028289,Epha7,0.3883855733205186
Gsg1,BC,BC5D,ENSMUSG00000030206,Gsg1,0.3305211175692202
Rgs7,BC,BC5D,ENSMUSG00000026527,Rgs7,0.3111018446509721
Mdga2,BC,BC5D,ENSMUSG00000034912,Mdga2,0.4933911190063001
Chst9,BC,BC6,ENSMUSG00000047161,Chst9,0.5946310576149889
Cdh18,BC,BC6,ENSMUSG00000040420,Cdh18,0.4456284683853584
Cck,BC,BC6,ENSMUSG00000032532,Cck,0.656816414529194
Ptprm,BC,BC6,ENSMUSG00000033278,Ptprm,0.8741404506406187
Otx2os1,BC,BC6,ENSMUSG00000098682,Otx2os1,0.4702381770046943
Scg2,BC,BC6,ENSMUSG00000050711,Scg2,0.592375917792901
Scgn,BC,BC6,ENSMUSG00000021337,Scgn,0.4918316217425805
Inpp4b,BC,BC6,ENSMUSG00000037940,Inpp4b,0.377650775663297
Unc13c,BC,BC6,ENSMUSG00000062151,Unc13c,0.3784415342793352
Guk1,BC,BC6,ENSMUSG00000020444,Guk1,0.452719780960322
Gnb3,BC,BC6,ENSMUSG00000023439,Gnb3,0.4898451409373188
Trpm1,BC,BC6,ENSMUSG00000030523,Trpm1,0.5139674286079305
Grid2,BC,BC6,ENSMUSG00000071424,Grid2,0.5139841660290595
Gpc6,BC,BC6,ENSMUSG00000058571,Gpc6,0.7524774128322534
Grid1,BC,BC6,ENSMUSG00000041078,Grid1,0.4045175678815054
Gabrr2,BC,BC7,ENSMUSG00000023267,Gabrr2,0.317879323813775
Kcnab1,BC,BC7,ENSMUSG00000027827,Kcnab1,0.3629998697898121
Il1rapl2,BC,BC7,ENSMUSG00000059203,Il1rapl2,0.6783834911174741
Hs3st4,BC,BC7,ENSMUSG00000078591,Hs3st4,0.4647170589029213
Cdh9,BC,BC7,ENSMUSG00000025370,Cdh9,0.4185849546494415
Chrm3,BC,BC7,ENSMUSG00000046159,Chrm3,0.6005360943481731
Tmsb10,BC,BC7,ENSMUSG00000079523,Tmsb10,0.6670381246114268
Meg3,BC,BC7,ENSMUSG00000021268,Meg3,0.3452410950643222
Pde1c,BC,BC7,ENSMUSG00000004347,Pde1c,0.3510340912822933
Sox5,BC,BC7,ENSMUSG00000041540,Sox5,0.5228905337126581
Ndnf,BC,BC7,ENSMUSG00000049001,Ndnf,0.2972632207150195
Gm20754,BC,BC7,ENSMUSG00000103428,Gm20754,0.3490099980070036
Pcp2,BC,BC7,ENSMUSG00000004630,Pcp2,0.4863885361307977
Pcdh9,BC,BC7,ENSMUSG00000055421,Pcdh9,0.3675719076521734
Adcy2,BC,BC7,ENSMUSG00000021536,Adcy2,0.4194829138340313
Spock3,BC,BC8,ENSMUSG00000054162,Spock3,0.4990974879058721
Nrg1_ENSMUSG00000062991,BC,BC8,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.3572576155602805
Stmn1,BC,BC8,ENSMUSG00000028832,Stmn1,0.4340615093538251
Pcdh7,BC,BC8,ENSMUSG00000029108,Pcdh7,0.669594675027513
Hlf,BC,BC8,ENSMUSG00000003949,Hlf,0.3174293755301978
Guk1,BC,BC8,ENSMUSG00000020444,Guk1,0.2900550539667139
Csmd3,BC,BC8,ENSMUSG00000022311,Csmd3,0.978482343502679
Npas3,BC,BC8,ENSMUSG00000021010,Npas3,0.3967712683248217
Sybu,BC,BC8,ENSMUSG00000022340,Sybu,0.3941382734514461
C130073E24Rik,BC,BC8,ENSMUSG00000110246,C130073E24Rik,0.5231213881801701
Lrp1b,BC,BC8,ENSMUSG00000049252,Lrp1b,0.6601977132604965
Adarb2,BC,BC8,ENSMUSG00000052551,Adarb2,0.4460216289906411
Lsamp,BC,BC8,ENSMUSG00000061080,Lsamp,0.4413988270333002
Cntnap2,BC,BC8,ENSMUSG00000039419,Cntnap2,0.4482127694178626
Plcb1,BC,BC8,ENSMUSG00000051177,Plcb1,0.4121219863903403
Tenm2,BC,BC8,ENSMUSG00000049336,Tenm2,0.4972508142570333
Prkce,BC,BC8,ENSMUSG00000045038,Prkce,0.2967012513846542
Tenm1,BC,BC9,ENSMUSG00000016150,Tenm1,0.8321490586169934
Tshz2,BC,BC9,ENSMUSG00000047907,Tshz2,0.5501550550035708
Adarb2,BC,BC9,ENSMUSG00000052551,Adarb2,0.3060368096455547
Cpne9,BC,BC9,ENSMUSG00000030270,Cpne9,1.0084110326993114
Snhg11,BC,BC9,ENSMUSG00000044349,Snhg11,0.485963001783195
Kcnab1,BC,BC9,ENSMUSG00000027827,Kcnab1,0.6734335537734516
Kirrel3,BC,BC9,ENSMUSG00000032036,Kirrel3,0.4271017481971043
Lrp1b,BC,BC9,ENSMUSG00000049252,Lrp1b,0.6322784844134286
Magi2,BC,BC9,ENSMUSG00000040003,Magi2,0.2847574242452105
Map1b,BC,BC9,ENSMUSG00000052727,Map1b,0.4591625996846402
Gngt2,BC,BC9,ENSMUSG00000038811,Gngt2,0.3901760257550567
Pcdh11x,BC,BC9,ENSMUSG00000034755,Pcdh11x,0.6246277963592904
Ntrk3,BC,BC9,ENSMUSG00000059146,Ntrk3,0.4427954933180538
Chgb,BC,BC9,ENSMUSG00000027350,Chgb,0.3495872654554997
Cdh12,BC,BC9,ENSMUSG00000040452,Cdh12,0.2926722784449674
Rpgrip1,BC,BC9,ENSMUSG00000057132,Rpgrip1,0.4553394121849785
4930447C04Rik,BC,BC9,ENSMUSG00000021098,4930447C04Rik,0.2692151939122826
Gm20754,BC,RBC,ENSMUSG00000103428,Gm20754,0.2882779187314986
Prkca,BC,RBC,ENSMUSG00000050965,Prkca,0.8212646880128587
Trpm1,BC,RBC,ENSMUSG00000030523,Trpm1,0.4304174802951316
Chgb,BC,RBC,ENSMUSG00000027350,Chgb,0.5010287021794689
Cntn4,BC,RBC,ENSMUSG00000064293,Cntn4,0.8232925103953992
Cep112,BC,RBC,ENSMUSG00000020728,Cep112,0.349164921661605
Pcp2,BC,RBC,ENSMUSG00000004630,Pcp2,0.8392225099779749
Kcnmb2,BC,RBC,ENSMUSG00000037610,Kcnmb2,0.3569429529365109
Zbtb20,BC,RBC,ENSMUSG00000022708,Zbtb20,0.2971957496652785
Car8,BC,RBC,ENSMUSG00000041261,Car8,0.3547163202365826
Ablim1,BC,RBC,ENSMUSG00000025085,Ablim1,0.4419825301045116
Calm1,BC,RBC,ENSMUSG00000001175,Calm1,0.5693082277834783
Pcp4,BC,RBC,ENSMUSG00000090223,Pcp4,0.973814649163404
